amfi_code,scheme_name,fund_house,alpha_pct,beta,r_squared,observations
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,30.336965386983323,-0.02319606204405971,0.00014142575502721738,1149
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,30.05787817097677,0.011455159960520699,3.5329906267955585e-05,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,29.26358334175106,0.000549004250631735,1.345534167566998e-07,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,28.27036785246582,0.018133884083859228,0.0001748888656812952,1149
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,27.330465038306055,-0.022829569792426528,0.0003430543427151444,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,27.19535450128533,0.0051035258305283,1.2066520635068118e-05,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,26.98375144191807,0.023683558075848637,0.0004625436906623856,1149
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,26.598577542043046,-0.00252300466469923,3.357978192008813e-06,1149
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,26.07666908004223,-0.06626542862803757,0.0019368789369602307,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,23.201007160635083,-0.03175144113890974,0.0008869788879322824,1149
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,21.829397904608644,-0.008353832126962014,5.791756270127824e-05,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,21.399784776051213,0.021086316250128034,0.00034804820307142523,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,21.19482701352573,0.016232169761417007,0.00021216129075887457,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,20.873010086942337,-0.02638771994384303,0.00048592647527973253,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,19.86859936686296,-0.026159307513513412,0.0005850821704543431,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,17.729754927531765,0.04882040425957738,0.0018401792783071568,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,17.703302365844074,-0.040268952369820595,0.00139744460833186,1149
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,17.50072167561127,0.10349663691337589,0.0027930065610663234,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,17.048756803412697,-0.019486785689474536,0.0003828503073092386,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,16.25385327998104,0.041896462728119754,0.0012571178108220736,1149
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,16.211256794033254,0.016682689437770806,0.0001861916643285012,1149
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,15.643835948169668,-0.03663900671860934,0.0011382947171084277,1149
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,15.136354648239239,-0.0014335213897801215,2.02534089723281e-06,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,13.173190226099432,-0.0040502711300065145,1.3227607880850332e-05,1149
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,13.042924450705446,0.036356399022199795,0.0012113711061211873,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,11.98910097121797,0.009054412621739182,4.04374655363427e-05,1149
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,10.897091901704538,-0.06528924788351524,0.0010641052735572622,1149
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,8.232801295222094,0.02588321244009315,0.000569203809024487,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,7.80443887615508,0.018056874208118173,0.00016915548838314384,1149
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,6.899529821677549,0.009730745001153611,8.082637693810729e-05,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,6.746210411099539,-0.00044409263297072297,0.00013430661440679847,1149
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.4556774953759986,-0.0004007442394784006,0.0001012543569227174,1149
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,6.086145795787115,0.00026670968338238357,4.607623677105207e-05,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.620895216638369,-0.006413850728276474,0.0004342603321720048,1149
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.074772999976104,0.0012566742731558499,1.6516652310332854e-05,1149
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,4.882421594553985,0.062001804382671666,0.0010259205326765958,1149
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,4.801595363775955,-0.06695117463929201,0.0011851593464486715,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,4.281792031506088,0.0011582183155281435,1.4612842041844954e-05,1149
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,3.747580763443281,-0.058268431438808936,0.0026650326981333267,1149
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,2.8969397866379443,-0.0421250290218943,0.000896429460068757,1149
