amfi_code,scheme_name,date,rolling_90d_sharpe
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-03,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-04,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-05,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-06,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-07,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-10,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-11,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-12,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-13,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-14,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-17,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-18,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-19,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-20,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-21,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-24,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-25,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-26,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-27,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-28,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-01-31,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-01,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-02,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-03,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-04,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-07,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-08,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-09,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-10,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-11,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-14,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-15,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-16,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-17,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-18,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-21,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-22,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-23,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-24,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-25,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-02-28,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-01,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-02,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-03,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-04,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-07,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-08,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-09,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-10,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-11,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-14,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-15,
120507,ICICI Pru Liquid Fund - Regular - Growth,2022-03-16,
