investor_id,sip_transaction_count,avg_gap_days,max_gap_days,first_sip_date,last_sip_date,total_sip_amount,status
INV000004,6,85.4,265.0,2024-03-16,2025-05-17,48256,at-risk
INV000008,6,70.4,165.0,2024-05-27,2025-05-14,72853,at-risk
INV000010,6,64.8,139.0,2024-04-11,2025-03-01,32183,at-risk
INV000011,7,40.166666666666664,125.0,2024-01-03,2024-08-31,93920,at-risk
INV000012,8,57.0,132.0,2024-03-27,2025-04-30,40139,at-risk
INV000013,7,55.333333333333336,104.0,2024-04-18,2025-03-16,75613,at-risk
INV000014,7,75.33333333333333,128.0,2024-02-23,2025-05-20,140315,at-risk
INV000023,8,58.57142857142857,115.0,2024-03-21,2025-05-05,202529,at-risk
INV000028,6,93.6,238.0,2024-02-07,2025-05-20,84262,at-risk
INV000029,7,60.666666666666664,96.0,2024-05-16,2025-05-15,90012,at-risk
INV000030,9,47.625,100.0,2024-02-19,2025-03-06,76470,at-risk
INV000033,8,45.57142857142857,87.0,2024-06-24,2025-05-09,46033,at-risk
INV000039,6,68.6,129.0,2024-04-27,2025-04-05,99338,at-risk
INV000045,6,70.6,109.0,2024-03-13,2025-03-01,114438,at-risk
INV000048,9,46.0,168.0,2024-03-27,2025-03-30,40327,at-risk
INV000052,6,36.2,120.0,2024-03-31,2024-09-28,24378,at-risk
INV000056,6,74.8,161.0,2024-01-10,2025-01-18,60977,at-risk
INV000057,8,49.714285714285715,149.0,2024-04-30,2025-04-13,90907,at-risk
INV000069,10,49.111111111111114,129.0,2024-02-14,2025-05-01,156054,at-risk
INV000072,6,83.0,247.0,2024-03-24,2025-05-13,49372,at-risk
INV000073,9,48.25,112.0,2024-03-20,2025-04-10,113509,at-risk
INV000074,8,72.57142857142857,191.0,2024-01-08,2025-05-30,106669,at-risk
INV000075,6,74.8,102.0,2024-05-01,2025-05-10,147761,at-risk
INV000076,6,91.8,203.0,2024-02-06,2025-05-10,50910,at-risk
INV000079,6,65.8,90.0,2024-06-02,2025-04-27,42160,at-risk
INV000081,7,81.33333333333333,167.0,2024-01-01,2025-05-03,54704,at-risk
INV000082,7,83.66666666666667,351.0,2024-01-09,2025-05-25,27594,at-risk
INV000086,10,44.666666666666664,167.0,2024-02-05,2025-03-13,81221,at-risk
INV000087,6,92.8,202.0,2024-02-20,2025-05-29,105288,at-risk
INV000091,8,44.0,105.0,2024-01-04,2024-11-07,55134,at-risk
INV000093,7,55.5,91.0,2024-01-30,2024-12-28,141515,at-risk
INV000094,6,44.8,95.0,2024-04-04,2024-11-14,49928,at-risk
INV000095,6,69.4,155.0,2024-04-19,2025-04-01,92823,at-risk
INV000097,7,54.5,183.0,2024-05-10,2025-04-02,155107,at-risk
INV000101,8,65.0,197.0,2024-02-08,2025-05-08,112802,at-risk
INV000102,8,65.28571428571429,109.0,2024-02-11,2025-05-13,114074,at-risk
INV000103,6,83.4,232.0,2024-02-08,2025-03-31,20675,at-risk
INV000105,8,57.0,87.0,2024-01-02,2025-02-04,86911,at-risk
INV000109,9,46.25,63.0,2024-02-29,2025-03-05,67651,at-risk
INV000113,8,46.0,144.0,2024-02-11,2024-12-29,84349,at-risk
INV000123,7,59.666666666666664,142.0,2024-03-28,2025-03-21,113633,at-risk
INV000128,6,82.0,181.0,2024-03-19,2025-05-03,38273,at-risk
INV000131,7,56.0,123.0,2024-04-05,2025-03-07,102201,at-risk
INV000132,6,71.0,139.0,2024-05-12,2025-05-02,88403,at-risk
INV000133,6,88.2,265.0,2024-02-15,2025-05-01,74695,at-risk
INV000138,6,76.2,220.0,2024-05-06,2025-05-22,156066,at-risk
INV000145,6,89.4,282.0,2024-02-17,2025-05-09,127034,at-risk
INV000146,6,66.8,171.0,2024-02-12,2025-01-11,88618,at-risk
INV000148,9,52.0,168.0,2024-03-11,2025-05-01,90012,at-risk
INV000155,7,37.333333333333336,99.0,2024-06-18,2025-01-28,57530,at-risk
INV000161,7,73.0,213.0,2024-02-23,2025-05-06,44287,at-risk
INV000163,8,61.0,80.0,2024-01-06,2025-03-08,58271,at-risk
INV000164,6,61.8,208.0,2024-04-17,2025-02-20,25253,at-risk
INV000169,7,67.83333333333333,145.0,2024-03-17,2025-04-28,48708,at-risk
INV000173,7,57.666666666666664,165.0,2024-04-18,2025-03-30,78387,at-risk
