amfi_code,scheme_name,benchmark_index,tracking_error_pct,matched_observations
100016,HDFC Top 100 Fund - Regular Plan - Growth,Nifty 50,20.71676981266199,3447
100016,HDFC Top 100 Fund - Regular Plan - Growth,Nifty 100,19.928360293890286,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,Nifty 50,15.559437952913385,3447
100025,HDFC Short Term Debt Fund - Regular - Growth,Nifty 100,13.453514415585591,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Nifty 50,23.934763731693305,3447
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Nifty 100,22.869942052083108,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,Nifty 50,20.844772827553694,3447
101206,ABSL Frontline Equity Fund - Regular - Growth,Nifty 100,19.27064051369653,1149
101207,ABSL Small Cap Fund - Regular - Growth,Nifty 50,29.812652796519,3447
101207,ABSL Small Cap Fund - Regular - Growth,Nifty 100,29.21174251929163,1149
101208,ABSL Liquid Fund - Regular - Growth,Nifty 50,15.031234737363397,3447
101208,ABSL Liquid Fund - Regular - Growth,Nifty 100,12.89568921773665,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,Nifty 50,19.824522105703014,3447
102885,UTI Nifty 50 Index Fund - Regular - Growth,Nifty 100,18.368034296960943,1149
102886,UTI Mid Cap Fund - Regular - Growth,Nifty 50,23.9107342976703,3447
102886,UTI Mid Cap Fund - Regular - Growth,Nifty 100,22.560814215136638,1149
102887,UTI Flexi Cap Fund - Regular - Growth,Nifty 50,21.590538431072627,3447
102887,UTI Flexi Cap Fund - Regular - Growth,Nifty 100,20.221623215661825,1149
118632,Nippon India Large Cap Fund - Regular - Growth,Nifty 50,20.27333066067925,3447
118632,Nippon India Large Cap Fund - Regular - Growth,Nifty 100,19.2115192503901,1149
118633,Nippon India Large Cap Fund - Direct - Growth,Nifty 50,20.669872989269898,3447
118633,Nippon India Large Cap Fund - Direct - Growth,Nifty 100,19.344939246000745,1149
118634,Nippon India Small Cap Fund - Regular - Growth,Nifty 50,29.311950461315167,3447
118634,Nippon India Small Cap Fund - Regular - Growth,Nifty 100,27.72863739829558,1149
118635,Nippon India ETF Nifty 50 BeES,Nifty 50,19.702881042214866,3447
118635,Nippon India ETF Nifty 50 BeES,Nifty 100,18.307639338664934,1149
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nifty 50,15.58927509746096,3447
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nifty 100,13.47582682889032,1149
119092,Axis Bluechip Fund - Regular - Growth,Nifty 50,20.325011956895665,3447
119092,Axis Bluechip Fund - Regular - Growth,Nifty 100,18.908165842556627,1149
119093,Axis Bluechip Fund - Direct - Growth,Nifty 50,20.361186662502064,3447
119093,Axis Bluechip Fund - Direct - Growth,Nifty 100,18.78998377218692,1149
119094,Axis Midcap Fund - Regular - Growth,Nifty 50,24.87227455359216,3447
119094,Axis Midcap Fund - Regular - Growth,Nifty 100,23.765197701108367,1149
119095,Axis Small Cap Fund - Regular - Growth,Nifty 50,29.13681553777769,3447
119095,Axis Small Cap Fund - Regular - Growth,Nifty 100,28.57813336985091,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Nifty 50,15.52948290745697,3447
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Nifty 100,13.564645267040476,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,Nifty 50,20.61665690944797,3447
119551,SBI Bluechip Fund - Regular Plan - Growth,Nifty 100,19.118256851630818,1149
